County,State,Administered_Dose_Count,Death Per 100k,Avg Temp (F),Max Temp (F),Min Temp (F),Population Estimate,Administered Dose Per 100k
Coryell County,Texas,44818.0,1781.380334126629,69.1,80.4,57.9,84878.0,52802.846438417495
Coshocton County,Ohio,15767.0,3094.740839187393,52.9,63.5,42.3,36869.0,42764.92446228539
Costilla County,Colorado,2571.0,2563.3958103638365,41.9,56.8,27.1,3628.0,70865.49062844543
Cottle County,Texas,503.0,1700.1545595054097,64.8,78.4,51.1,1294.0,38871.715610510044
Cotton County,Oklahoma,3459.0,3298.323198820712,65.0,78.1,51.9,5427.0,63736.87119955777
Cottonwood County,Minnesota,6944.0,4081.632653061224,47.2,57.5,37.0,11319.0,61348.17563388992
Covington County,Alabama,17655.0,5396.290050590219,67.8,80.1,55.5,37952.0,46519.287521079255
Covington County,Mississippi,11685.0,4103.217232404895,68.2,80.2,56.2,18059.0,64704.57943407719
Coweta County,Georgia,77826.0,3046.981243424935,63.9,75.5,52.2,155892.0,49923.023631745054
Cowley County,Kansas,19873.0,3955.265392159733,59.5,72.1,46.9,34157.0,58181.339110577625
Cowlitz County,Washington,74374.0,4159.873830450808,50.8,60.0,41.6,112864.0,65897.00878933938
Craig County,Oklahoma,9840.0,3732.578998206154,60.4,72.1,48.8,14494.0,67890.16144611564
Craig County,Virginia,1970.0,2704.934957670865,54.6,65.2,43.9,4843.0,40677.26615734049
Craighead County,Arkansas,64591.0,7152.193555744651,62.3,72.3,52.3,113993.0,56662.251190862604
Crane County,Texas,2336.0,3366.8561434193266,69.0,82.8,55.2,4574.0,51071.27240926978
Craven County,North Carolina,90102.0,4646.892793311912,63.0,73.7,52.3,102391.0,87997.96857145647
Crawford County,Arkansas,35377.0,2695.060671179978,62.3,73.7,51.0,61891.0,57160.16868365352
Crawford County,Georgia,6276.0,2736.82495723711,65.5,77.7,53.2,12277.0,51119.9804512503
Crawford County,Illinois,10819.0,3273.224043715847,56.7,67.2,46.1,18300.0,59120.21857923497
Crawford County,Indiana,4558.0,2720.827744778693,56.2,67.8,44.7,10438.0,43667.36922782142
Crawford County,Iowa,10153.0,3134.952850808718,50.9,62.2,39.5,16013.0,63404.733653906194
Crawford County,Kansas,21324.0,4548.034258590445,59.1,70.6,47.6,38764.0,55009.80290991642
Crawford County,Michigan,7482.0,6315.556212143596,46.2,56.2,36.2,13538.0,55266.65681784606
Crawford County,Missouri,9469.0,4907.786434262071,57.0,69.6,44.4,22719.0,41678.77107267045
Crawford County,Ohio,20214.0,4714.777625273905,52.7,62.7,42.6,41529.0,48674.420284620384
Crawford County,Pennsylvania,51041.0,4271.899123181424,49.9,59.8,40.1,82001.0,62244.3628736235
Crawford County,Wisconsin,10342.0,3606.372303060713,49.1,59.1,39.1,15944.0,64864.52584044154
Creek County,Oklahoma,38101.0,2850.0518191239844,61.4,73.4,49.5,73332.0,51956.85376097747
Crenshaw County,Alabama,5956.0,4816.426227005572,66.7,79.0,54.5,13101.0,45462.17845965957
Crisp County,Georgia,11813.0,6087.310885843818,67.3,79.0,55.7,19631.0,60175.23304976823
Crittenden County,Arkansas,28472.0,2874.477608774051,63.9,74.3,53.6,47139.0,60400.09334097032
Crittenden County,Kentucky,4153.0,3443.280588366392,59.2,69.8,48.7,8974.0,46278.1368397593
Crockett County,Tennessee,8003.0,4012.3015305392646,61.7,72.7,50.7,13982.0,57237.87727077671
Crockett County,Texas,1953.0,4338.698390482855,68.4,81.4,55.5,2858.0,68334.49965010498
Crook County,Oregon,14426.0,2997.922232116355,46.4,58.9,33.8,26952.0,53524.78480261205
Crook County,Wyoming,2884.0,3095.36354056902,45.4,58.5,32.3,7592.0,37987.355110642784
Crosby County,Texas,2795.0,4067.520846044336,63.1,76.6,49.6,4917.0,56843.60382346959
Cross County,Arkansas,10165.0,3751.5225334957368,63.0,73.1,52.9,16420.0,61906.2119366626
Crow Wing County,Minnesota,40840.0,3619.114546732256,44.1,54.3,33.8,68304.0,59791.52026235652
Crowley County,Colorado,1452.0,2785.663591199432,52.5,68.6,36.5,5636.0,25762.952448545067
Culberson County,Texas,1338.0,5191.2568306010935,64.8,79.0,50.5,2196.0,60928.96174863388
Cullman County,Alabama,38911.0,4390.540775517302,63.0,73.5,52.5,92016.0,42287.21091984003
Culpeper County,Virginia,31699.0,3006.930675058665,57.7,69.6,45.7,54973.0,57662.85267313045
Cumberland County,Illinois,4666.0,3216.0608127862783,56.0,66.6,45.4,10261.0,45473.15076503265
Cumberland County,Kentucky,3327.0,5300.0,59.3,70.5,48.1,6000.0,55450.0
Cumberland County,Maine,320854.0,4700.061244882829,48.0,57.0,38.9,310230.0,103424.5559745995
Cumberland County,New Jersey,105575.0,3916.599923847538,57.2,67.0,47.3,152326.0,69308.58815960506
Cumberland County,North Carolina,296108.0,3423.303441948563,63.3,74.5,52.2,337890.0,87634.43724288969
Cumberland County,Pennsylvania,240169.0,3812.542014789206,54.8,65.5,44.1,270738.0,88709.01018697042
Cumberland County,Tennessee,32860.0,5362.878319950587,56.5,67.1,46.0,64760.0,50741.19827053737
Cumberland County,Virginia,4275.0,2146.183437942904,59.2,70.7,47.8,9878.0,43277.991496254304
Currituck County,North Carolina,24376.0,2136.5492355901624,62.4,71.1,53.7,31593.0,77156.33209888266
Curry County,New Mexico,33985.0,3165.897251281183,59.1,73.7,44.5,47222.0,71968.57396975985
Curry County,Oregon,15424.0,5554.601648351648,52.7,61.9,43.5,23296.0,66208.79120879121
Custer County,Colorado,2859.0,2222.6237802674377,41.8,55.3,28.4,5534.0,51662.45030719191
Custer County,Idaho,2325.0,2785.76166261331,38.2,50.3,26.1,4523.0,51403.93544107893
Custer County,Montana,5769.0,3554.4430538172714,46.9,59.5,34.3,11985.0,48135.1689612015
Custer County,Oklahoma,17147.0,3594.424396801811,61.2,74.6,47.8,28266.0,60662.98733460694
Custer County,South Dakota,5850.0,2336.2948338269166,46.6,59.0,34.2,9117.0,64165.844027640676
Cuyahoga County,Ohio,910316.0,5146.185835885192,53.0,61.4,44.6,1233088.0,73824.09041366066
Dade County,Georgia,9566.0,3167.336838849366,60.6,70.6,50.6,16165.0,59177.23476647076
Dade County,Missouri,3794.0,3952.825298081908,59.3,70.9,47.6,7716.0,49170.55469155003
Dakota County,Minnesota,337192.0,1901.0370105489003,48.0,57.4,38.5,447440.0,75360.27176828179
Dakota County,Nebraska,15586.0,1810.2313334587168,50.2,61.7,38.8,21268.0,73283.80665788979
Dale County,Alabama,29318.0,3226.3239157025127,67.6,78.9,56.4,49871.0,58787.6721942612
Dallam County,Texas,4466.0,1381.788033715628,56.3,71.1,41.5,7237.0,61710.65358573995
Dallas County,Alabama,22702.0,4913.590488040923,67.0,78.6,55.4,36165.0,62773.39969583852
Dallas County,Arkansas,4734.0,4979.789814066289,64.0,75.3,52.6,6185.0,76540.01616814875
Dallas County,Iowa,70556.0,1438.4474129550283,51.8,63.0,40.7,111092.0,63511.323947719015
Dallas County,Missouri,7059.0,3793.3363349842416,58.0,69.6,46.3,17768.0,39728.72579918955
Dallas County,Texas,1930207.0,2707.341048313393,68.4,79.0,57.9,2606358.0,74057.6313768101
Dane County,Wisconsin,525490.0,3005.490599585989,49.7,59.6,39.8,575347.0,91334.44686424019
Daniels County,Montana,770.0,3980.4041641151257,41.7,53.6,29.7,1633.0,47152.480097979176
Dare County,North Carolina,40999.0,2815.533980582524,63.2,71.3,55.1,38110.0,107580.68748360011
Darke County,Ohio,22532.0,3856.8511134882815,53.4,63.6,43.1,51415.0,43823.78683263639
Darlington County,South Carolina,39062.0,3864.39374519354,64.4,75.9,52.8,62416.0,62583.31197128941
Dauphin County,Pennsylvania,229128.0,4631.544009348832,54.3,64.3,44.3,289234.0,79218.9023420483
Davidson County,North Carolina,113420.0,3426.695041303403,60.2,71.5,48.8,174804.0,64884.098762042064
Davidson County,Tennessee,540134.0,5109.2605435090845,61.2,72.4,50.0,712334.0,75825.94681708301
Davie County,North Carolina,35649.0,2650.2836386466065,59.6,71.1,48.1,44599.0,79932.28547725285
Daviess County,Indiana,12511.0,3321.8445448062757,56.8,68.3,45.3,33656.0,37173.163774661276
Daviess County,Kentucky,63293.0,5169.24742407547,58.4,69.2,47.5,103458.0,61177.48264996423
Daviess County,Missouri,3248.0,2409.074961992749,54.7,65.7,43.7,8551.0,37983.86153666238
Davis County,Iowa,3637.0,2661.140800523503,53.0,64.0,42.1,9169.0,39666.26676845893
Davis County,Utah,271672.0,1867.3283191365647,49.4,59.5,39.4,373207.0,72793.91865640249
Davison County,South Dakota,17118.0,3925.308703945387,47.5,59.9,35.2,19922.0,85925.10792089147
Dawson County,Georgia,11969.0,1723.8119248707928,60.1,71.3,48.9,31732.0,37719.02180763897
Dawson County,Montana,3656.0,4438.138479001135,44.8,56.9,32.7,8810.0,41498.297389330306
Dawson County,Nebraska,12375.0,2976.9566119991696,50.9,63.8,38.0,24085.0,51380.527299148845
Dawson County,Texas,5041.0,3307.230923025658,64.2,77.8,50.5,12004.0,41994.3352215928
Day County,South Dakota,4564.0,4769.767015226565,43.4,53.7,33.1,5451.0,83727.75637497706
De Baca County,New Mexico,1066.0,3560.6517803258903,60.6,76.8,44.4,1657.0,64333.13216656609
De Soto Parish,Louisiana,13699.0,2349.3398244449363,68.0,79.4,56.6,27114.0,50523.714686139996
De Witt County,Illinois,9067.0,3494.9560689879595,54.4,65.0,43.8,15365.0,59010.738691832084
DeKalb County,Alabama,30901.0,3712.328955890256,60.8,71.1,50.4,72569.0,42581.54308313467
DeKalb County,Georgia,517212.0,2580.49887810095,63.6,74.7,52.4,762992.0,67787.34246230629
DeKalb County,Illinois,65414.0,2922.5829610721125,51.0,60.8,41.1,100288.0,65226.1486917677
DeKalb County,Indiana,20871.0,3140.413593375266,51.5,61.3,41.6,44198.0,47221.59373727318
DeKalb County,Missouri,4101.0,2909.3847863420547,54.8,66.0,43.6,9899.0,41428.42711384989
DeKalb County,Tennessee,9995.0,3462.8975265017666,59.5,71.5,47.5,21225.0,47090.6949352179
DeSoto County,Florida,23061.0,3260.2351371633454,74.8,85.8,63.8,35979.0,64095.72250479446
DeSoto County,Mississippi,126373.0,3494.4915056896098,64.0,74.5,53.4,193247.0,65394.546875242566
DeWitt County,Texas,10345.0,3442.2198805760454,72.9,84.4,61.5,19929.0,51909.2779366752
Deaf Smith County,Texas,9400.0,2267.4006649588487,59.4,73.9,44.8,18347.0,51234.53425628168
Dearborn County,Indiana,36728.0,3061.603045982622,55.6,66.3,44.8,51215.0,71713.36522503174
Decatur County,Georgia,15511.0,3492.969367758793,68.7,80.1,57.3,29087.0,53326.22821191597
Decatur County,Indiana,14550.0,3890.2988749573847,55.2,65.8,44.5,26399.0,55115.72408045759
Decatur County,Iowa,3701.0,3444.227005870842,53.2,64.2,42.2,7665.0,48284.40965427267
Decatur County,Kansas,1260.0,4498.525073746313,52.8,67.0,38.5,2712.0,46460.176991150445
Decatur County,Tennessee,5038.0,4075.154426904599,61.5,73.1,49.9,11656.0,43222.374742621825
Deer Lodge County,Montana,5945.0,4393.673110720562,38.1,49.3,26.9,9673.0,61459.73327819705
Defiance County,Ohio,20345.0,5493.93188046457,52.6,62.4,42.9,38315.0,53099.30836487016
Del Norte County,California,14297.0,4231.073000112829,51.8,61.3,42.2,26589.0,53770.356162322765
Delaware County,Indiana,63692.0,5329.368506334523,54.1,64.7,43.6,112321.0,56705.33560064458
Delaware County,Iowa,10093.0,3426.136363636364,49.3,59.7,38.9,17600.0,57346.59090909091
Delaware County,New York,28530.0,3668.0927718982207,47.2,57.1,37.2,44410.0,64242.2877730241
Delaware County,Ohio,172612.0,1535.1672451605104,53.7,64.1,43.2,231636.0,74518.64131654837
Delaware County,Oklahoma,24400.0,4313.838332973647,60.5,72.1,48.9,41703.0,58508.98016929238
Delaware County,Pennsylvania,609363.0,3205.541684006104,56.8,66.1,47.6,576720.0,105660.11235955055
Delta County,Colorado,16980.0,4038.3040383040384,46.5,59.4,33.7,31746.0,53487.05348705348
Delta County,Michigan,23815.0,4243.000815438978,44.1,53.3,34.9,36790.0,64732.264202228864
Delta County,Texas,2244.0,2771.7391304347825,66.2,77.3,55.1,5520.0,40652.17391304348
Dent County,Missouri,6672.0,4587.97023281218,56.7,68.9,44.5,14647.0,45551.99016863522
Denton County,Texas,634268.0,1690.0813037174642,67.7,78.7,56.7,1007703.0,62941.9580967805
Denver County,Colorado,649079.0,2716.9445851597247,50.6,64.4,36.7,716577.0,90580.49588529914
Des Moines County,Iowa,22620.0,5233.576451520143,53.3,63.5,43.1,38253.0,59132.617049643166
Deschutes County,Oregon,159586.0,3302.91156906284,44.9,57.0,32.7,208513.0,76535.27597799657
Desha County,Arkansas,8543.0,3702.6433820020993,65.5,75.9,55.0,10479.0,81524.95467124725
Deuel County,South Dakota,2501.0,2480.477721635278,44.9,55.3,34.5,4354.0,57441.43316490583
Dewey County,Oklahoma,1444.0,5832.944470368642,60.4,73.8,46.9,4286.0,33691.08726084928
Dewey County,South Dakota,5853.0,1382.4884792626729,46.3,58.2,34.4,5208.0,112384.79262672811
Dickenson County,Virginia,8118.0,4010.263929618768,55.6,67.0,44.1,13640.0,59516.12903225807
Dickey County,North Dakota,2955.0,4979.591836734694,41.9,52.4,31.4,4900.0,60306.12244897959
Dickinson County,Iowa,11598.0,3572.219760744351,47.8,58.2,37.4,18056.0,64233.49579087284
Dickinson County,Kansas,12874.0,4223.366766061263,57.5,69.7,45.2,18445.0,69796.69287069666
Dickinson County,Michigan,19561.0,4633.977368947733,43.3,53.9,32.8,25982.0,75286.73697174966
Dickson County,Tennessee,30640.0,4389.289428687267,60.3,71.7,48.8,56729.0,54011.175941758185
Dillon County,South Carolina,16665.0,4397.429417286447,64.7,76.3,53.1,27698.0,60166.79904686259
Dimmit County,Texas,11681.0,4190.383916676759,74.2,86.4,62.1,8257.0,141467.8454644544
Dinwiddie County,Virginia,15900.0,1940.5144127297744,60.2,71.7,48.6,28343.0,56098.50756800621
Divide County,North Dakota,1083.0,3325.526932084309,41.5,53.0,30.0,2135.0,50725.99531615926
Dixie County,Florida,7595.0,2542.22731176639,71.3,82.2,60.4,17465.0,43486.97394789579
Doddridge County,West Virginia,5751.0,2135.4166666666665,54.7,66.5,42.9,7680.0,74882.8125
Dodge County,Georgia,8670.0,4353.76213592233,66.6,78.4,54.8,19776.0,43841.01941747573
Dodge County,Minnesota,13668.0,1664.4537177541729,46.9,57.1,36.6,21088.0,64814.11229135053
Dodge County,Wisconsin,50828.0,3756.049461073773,48.8,58.3,39.3,88231.0,57607.87024968549
Dolores County,Colorado,1038.0,2705.929168324712,42.6,56.1,29.1,2513.0,41305.212892956624
Doniphan County,Kansas,4371.0,3042.8399839850526,55.3,67.0,43.4,7493.0,58334.44548245029
Donley County,Texas,1284.0,3982.576228998133,62.0,75.8,48.1,3214.0,39950.21779713752
Dooly County,Georgia,5863.0,2486.112375922047,66.9,78.7,55.1,10981.0,53392.22293051634
Door County,Wisconsin,24317.0,3573.064590013743,46.0,54.2,37.8,30562.0,79566.12787121262
Dorchester County,Maryland,21870.0,3102.2841327290976,59.5,70.0,49.1,32879.0,66516.62155175036
Dorchester County,South Carolina,106831.0,2068.5025878362862,66.3,77.0,55.7,169833.0,62903.55820129185
Dougherty County,Georgia,52183.0,6503.7207332567,67.7,78.7,56.6,82645.0,63141.14586484361
Douglas County,Colorado,297140.0,1903.0700223492208,47.1,60.7,33.5,383906.0,77399.15500148475
Douglas County,Georgia,81089.0,2016.6264414052025,63.1,74.4,51.9,149160.0,54363.77044784124
Douglas County,Illinois,10622.0,2613.480055020633,55.1,65.7,44.5,19629.0,54113.81119771767
Douglas County,Kansas,92837.0,2317.652816603485,57.5,68.8,46.2,120553.0,77009.28222441582
Douglas County,Minnesota,24238.0,3867.0437764373137,44.1,54.4,33.8,39953.0,60666.282882386804
Douglas County,Missouri,3698.0,3909.061171082761,58.1,69.6,46.5,12228.0,30242.067386326464
Douglas County,Nebraska,440203.0,3539.369678054076,53.3,64.2,42.4,589540.0,74668.89439223801
Douglas County,Nevada,30315.0,3205.167019880916,47.7,60.3,35.2,49545.0,61186.79987889797
Douglas County,Oregon,69251.0,5324.85436029706,51.5,61.3,41.6,112435.0,61592.03095121626
Douglas County,South Dakota,1946.0,4474.982381959127,48.4,60.7,36.1,2838.0,68569.41508104299
Douglas County,Washington,29864.0,1709.8977632930043,49.2,59.4,38.9,44798.0,66663.6903433189
Douglas County,Wisconsin,26394.0,2469.275257545635,43.1,52.8,33.3,44264.0,59628.59208386048
Drew County,Arkansas,10656.0,4083.800531130127,65.8,76.6,55.1,16945.0,62885.80702272056
DuPage County,Illinois,793948.0,2945.789953029321,52.1,61.7,42.6,921213.0,86185.06252082852
Dubois County,Indiana,27437.0,4526.248105451707,56.6,68.1,45.0,43546.0,63006.93519496624
Dubuque County,Iowa,69682.0,3864.0063911333136,49.7,59.5,40.0,98887.0,70466.2898055356
Duchesne County,Utah,11037.0,2436.880402402696,41.1,53.0,29.2,20477.0,53899.49699663037
Dundy County,Nebraska,726.0,4804.612427930813,52.0,65.7,38.3,1561.0,46508.648302370275
Dunklin County,Missouri,13406.0,3773.305711749038,61.8,72.2,51.4,27032.0,49593.074874223144
Dunn County,North Dakota,1434.0,2488.1811395869618,43.5,55.2,31.8,4019.0,35680.51754167703
Dunn County,Wisconsin,24721.0,2301.611564833821,46.5,56.9,36.2,45794.0,53983.054548630826
Duplin County,North Carolina,37250.0,3313.812600969305,62.5,73.7,51.3,49520.0,75222.1324717286
Durham County,North Carolina,372628.0,4094.48725407549,61.1,73.2,49.1,336892.0,110607.55375609988
Dutchess County,New York,244545.0,3544.001346121487,52.1,62.2,42.0,297150.0,82296.81978798586
Duval County,Florida,703995.0,4023.5850612423874,71.5,81.7,61.2,1030822.0,68294.52611605107
Duval County,Texas,8478.0,2717.6176593086216,74.7,85.6,63.7,9604.0,88275.71845064557
Dyer County,Tennessee,17786.0,5211.244451750781,61.9,72.5,51.3,36498.0,48731.43733903227
Eagle County,Colorado,59113.0,821.9782644673692,38.9,51.7,26.1,54381.0,108701.56856254942
Early County,Georgia,5723.0,4118.14825333712,67.9,78.9,57.0,10563.0,54179.68380195021
East Baton Rouge Parish,Louisiana,286725.0,4966.028715602263,71.0,81.4,60.6,448467.0,63934.47009478958
East Carroll Parish,Louisiana,3745.0,2445.4532142334165,67.4,78.7,56.0,6829.0,54839.654414994875
East Feliciana Parish,Louisiana,8865.0,3193.093764626346,70.1,80.7,59.5,19229.0,46102.241406209374
Eastland County,Texas,7941.0,4429.783223374175,67.2,79.4,55.0,18037.0,44026.16843155736
Eaton County,Michigan,65583.0,2698.0334497335048,50.4,59.8,41.0,108820.0,60267.41407829444
Eau Claire County,Wisconsin,70811.0,4384.493480255414,46.9,57.2,36.7,107903.0,65624.68142683707
Echols County,Georgia,1573.0,1725.532488541386,68.5,80.6,56.4,3709.0,42410.35319493125
Ector County,Texas,87245.0,3554.536943596727,67.2,80.8,53.6,164494.0,53038.4086957579
Eddy County,New Mexico,34514.0,3014.5167980091246,64.4,78.9,49.9,60275.0,57260.88759850685
Eddy County,North Dakota,1297.0,5081.7498895271765,41.0,51.4,30.7,2263.0,57313.30092797172
Edgar County,Illinois,9665.0,4830.415085098567,54.9,66.0,43.7,16334.0,59171.054242683975
Edgecombe County,North Carolina,33883.0,4208.306028833552,61.9,73.5,50.4,48832.0,69386.87745740499
Edgefield County,South Carolina,20808.0,2626.145542797117,64.6,75.3,53.8,27607.0,75372.18821313434
Edmonson County,Kentucky,4782.0,2618.894601542416,59.3,70.8,47.9,12448.0,38415.80976863753
Edmunds County,South Dakota,2235.0,3401.528222824747,44.3,55.2,33.3,4057.0,55089.96795661819
Edwards County,Illinois,2893.0,1725.8713136729225,57.8,68.4,47.1,5968.0,48475.20107238606
Edwards County,Kansas,1486.0,3915.111598975485,56.6,70.0,43.3,2733.0,54372.48444932309
Edwards County,Texas,2062.0,4235.463029432879,69.3,81.2,57.5,1393.0,148025.84350323046
Effingham County,Georgia,29207.0,1621.4478410981114,66.7,77.7,55.7,71541.0,40825.54059909702
Effingham County,Illinois,18492.0,4042.9932131309897,56.4,66.7,46.0,34331.0,53863.8548250852
El Dorado County,California,136704.0,2711.546965637437,53.4,64.2,42.7,192215.0,71120.36001352652
El Paso County,Colorado,567993.0,2965.0033928367475,48.6,63.0,34.2,744215.0,76321.09000759189
El Paso County,Texas,986160.0,3208.373568768106,66.3,81.4,51.1,869880.0,113367.36101531246
Elbert County,Colorado,11476.0,1353.884607373464,47.8,63.1,32.5,28806.0,39838.92244671249
Elbert County,Georgia,9404.0,4167.291260680558,63.6,75.2,51.9,20013.0,46989.45685304552
Elk County,Kansas,996.0,2513.173895419538,58.9,71.1,46.7,2467.0,40372.92257803
Elk County,Pennsylvania,19122.0,3692.297503145904,49.7,60.0,39.3,30198.0,63322.07430955692
Elkhart County,Indiana,105805.0,3427.660615573933,51.9,61.6,42.1,206409.0,51259.87723403533
Elko County,Nevada,28027.0,2276.5365700919087,44.5,57.5,31.5,54293.0,51621.75602748052
Elliott County,Kentucky,3067.0,2815.734989648033,56.3,68.3,44.3,7245.0,42332.64320220842
Ellis County,Kansas,16624.0,4588.684484553975,55.6,69.6,41.5,28810.0,57702.186740715035
Ellis County,Oklahoma,1599.0,4413.377192982456,59.6,73.6,45.6,3648.0,43832.23684210527
Ellis County,Texas,117784.0,2174.7618128699587,68.7,79.4,58.0,222829.0,52858.469947807505
Ellsworth County,Kansas,3702.0,3869.7498820198207,57.3,70.7,43.9,6357.0,58235.0165172251
Elmore County,Alabama,48321.0,2641.5010891078164,65.6,77.0,54.2,90441.0,53428.20181112549
Elmore County,Idaho,19264.0,2136.320818194052,47.1,59.2,35.1,29724.0,64809.58148297672
Emanuel County,Georgia,10776.0,3996.712660582205,66.3,77.9,54.6,23119.0,46611.01258704961
Emery County,Utah,5197.0,2740.536277602524,50.3,63.3,37.3,10144.0,51232.25552050473
Emmet County,Iowa,5442.0,4290.8224076281285,47.6,58.1,37.1,9229.0,58966.30187452595
Emmet County,Michigan,25568.0,6681.710283386572,46.1,54.6,37.7,34123.0,74928.93356387188
Emmons County,North Dakota,1386.0,3380.893300248139,42.4,53.4,31.5,3224.0,42990.07444168734
Erath County,Texas,18523.0,2436.9272542142776,68.7,80.1,57.4,44195.0,41911.980993325036
Erie County,New York,718861.0,4311.697865130894,49.9,59.1,40.7,946147.0,75977.72861933715
Erie County,Ohio,47865.0,5404.200715877625,52.9,61.1,44.7,74035.0,64651.85385290741
Erie County,Pennsylvania,191107.0,4933.27004794989,50.0,59.0,40.9,267571.0,71422.91204951209
Escambia County,Alabama,17690.0,4168.718201214509,68.1,79.8,56.3,36558.0,48388.86153509492
Escambia County,Florida,217874.0,5846.8531297411055,70.0,80.3,59.7,326928.0,66642.80820241765
Esmeralda County,Nevada,469.0,6793.478260869565,52.3,65.2,39.4,736.0,63722.82608695652
Essex County,Massachusetts,765906.0,3218.658690588318,51.5,60.2,42.8,810089.0,94545.90791875955
Essex County,New Jersey,761625.0,3166.192192142796,55.9,65.4,46.3,851117.0,89485.34690295224
Essex County,New York,29593.0,3611.148878314072,44.0,53.6,34.3,36775.0,80470.42828008157
Essex County,Vermont,3162.0,2845.2579034941764,43.3,52.9,33.7,6010.0,52612.31281198003
Essex County,Virginia,5586.0,5387.809020569919,59.0,69.6,48.4,10598.0,52708.05812417437
Estill County,Kentucky,8399.0,3946.6130884041336,57.9,69.1,46.6,13936.0,60268.36969001148
Etowah County,Alabama,52018.0,5896.882052672872,63.2,74.1,52.3,103241.0,50385.02145465464
Eureka County,Nevada,665.0,3599.3740219092333,45.3,59.2,31.5,1917.0,34689.61919666145
Evangeline Parish,Louisiana,14871.0,3870.378534987718,69.7,80.6,58.9,31754.0,46831.89519430623
Evans County,Georgia,5117.0,3347.591593825553,67.5,79.3,55.8,10754.0,47582.29496001488
Fairfax County,Virginia,1177234.0,1887.329469523014,58.4,68.8,48.1,1141878.0,103096.3027573874
Fairfield County,Ohio,101034.0,3237.1794871794878,53.8,64.3,43.3,165360.0,61099.41944847605
Fairfield County,South Carolina,18022.0,3809.617079620017,63.4,75.0,51.8,20422.0,88247.96787777886
Fall River County,South Dakota,5129.0,5559.312863519545,48.4,61.9,34.9,7393.0,69376.43717029622
Fallon County,Montana,1084.0,3573.8142952571816,45.0,57.5,32.6,2994.0,36205.74482297929
Falls County,Texas,9509.0,2279.301168575726,69.4,80.7,58.1,17286.0,55009.83454818928
Fannin County,Georgia,12842.0,4588.711230976691,57.6,69.3,45.8,25955.0,49477.94259294934
Fannin County,Texas,18510.0,3335.01903063533,66.1,76.7,55.5,37571.0,49266.72167363126
Faribault County,Minnesota,8483.0,3784.329272687955,47.8,57.9,37.7,13873.0,61147.55280040366
Faulk County,South Dakota,1526.0,4649.000464900047,45.0,56.1,33.8,2151.0,70943.7470943747
Faulkner County,Arkansas,78923.0,3319.712814830205,62.9,74.0,51.7,129951.0,60732.891628383004
Fauquier County,Virginia,57999.0,2509.1465442692743,57.2,68.3,46.1,75165.0,77162.24306525644
Fayette County,Alabama,6869.0,3864.219953654412,63.7,75.6,51.8,15967.0,43019.97870608129
Fayette County,Georgia,82356.0,3629.480101498975,64.1,75.7,52.5,123351.0,66765.5714181482
Fayette County,Illinois,8604.0,3194.1031941031943,56.7,67.4,45.9,21164.0,40653.940653940655
Fayette County,Indiana,10710.0,3565.619381902234,53.8,64.5,43.1,23362.0,45843.677767314446
Fayette County,Iowa,11715.0,3815.720978656949,48.3,59.0,37.5,19210.0,60983.86257157731
Fayette County,Kentucky,265335.0,5993.36569276036,57.8,69.0,46.6,320154.0,82877.30279802845
Fayette County,Ohio,14061.0,3897.005239962522,54.7,65.2,44.2,28817.0,48794.11458514071
Fayette County,Pennsylvania,90452.0,4676.5928257273135,52.0,62.6,41.5,123915.0,72995.19832143001
Fayette County,Tennessee,28158.0,2155.065082059989,62.6,73.7,51.6,44175.0,63741.93548387097
Fayette County,Texas,14561.0,4106.147444453168,72.6,83.1,62.2,25474.0,57160.24181518411
Fayette County,West Virginia,27456.0,4123.157248157248,53.9,64.6,43.2,39072.0,70270.27027027028
Fentress County,Tennessee,7298.0,3350.9341998375303,56.7,67.5,45.9,19696.0,37053.20877335499
Fergus County,Montana,5899.0,4595.650696568128,45.7,57.7,33.6,11772.0,50110.43153244988
Ferry County,Washington,4915.0,3681.4725890356144,44.6,54.6,34.6,7497.0,65559.55715619582
Fillmore County,Minnesota,16153.0,3391.878078245516,46.9,57.4,36.4,21522.0,75053.43369575318
Finney County,Kansas,23698.0,2677.093898467944,55.3,70.0,40.6,37466.0,63252.01516041211
Fisher County,Texas,1616.0,2962.34772978959,66.8,79.7,54.0,3612.0,44739.75636766334
Flagler County,Florida,86944.0,4437.039234930272,73.2,82.8,63.7,131439.0,66147.79479454349
Flathead County,Montana,54411.0,3908.373578233447,42.0,52.2,31.8,113679.0,47863.721531681316
Fleming County,Kentucky,8550.0,2804.040927341018,56.0,67.6,44.4,15442.0,55368.47558606398
Florence County,South Carolina,90585.0,8303.088606118909,65.1,76.8,53.3,137214.0,66017.31601731601
Florence County,Wisconsin,2606.0,3588.210166595472,42.9,53.5,32.2,4682.0,55659.974369927375
Floyd County,Georgia,48720.0,7042.042491984057,62.0,73.8,50.2,100113.0,48665.0085403494
Floyd County,Indiana,52194.0,5487.012585231843,57.7,69.0,46.5,80809.0,64589.34029625413
Floyd County,Iowa,9091.0,3725.6948975597024,48.5,59.2,37.8,15326.0,59317.49967375701
Floyd County,Kentucky,23208.0,5432.414374110333,57.7,69.6,45.7,34423.0,67420.0389274613
Floyd County,Texas,2900.0,3850.687622789784,61.5,75.1,47.9,5090.0,56974.45972495089
