County,State,Administered_Dose_Count,Death Per 100k,Avg Temp (F),Max Temp (F),Min Temp (F),Population Estimate,Administered Dose Per 100k,65 plus per 100k,5 Under per 100k
Alexander County,Illinois,2469.0,3556.9755058572946,59.6,70.0,49.2,4695.0,52587.85942492013,25303.514376996805,4600.638977635783
Alexander County,North Carolina,22936.0,2516.9303320264307,59.0,70.7,47.4,36473.0,62884.87374222027,20711.211032818796,4863.871905244976
Alfalfa County,Oklahoma,3030.0,1515.9527586814736,60.1,73.2,47.1,5673.0,53410.89370703331,20606.38110347259,4301.075268817204
Alger County,Michigan,6224.0,3585.702866278405,43.2,51.8,34.5,8757.0,71074.56891629554,27737.809752198238,3859.769327395227
Allamakee County,Iowa,8557.0,3801.335796504192,48.5,58.3,38.6,14074.0,60800.05684240444,23703.282648856046,6934.77334091232
Allegan County,Michigan,63638.0,2730.873633538081,50.9,59.9,41.8,121939.0,52188.38927660552,18964.400232903336,5478.148910520835
Allegany County,Maryland,45566.0,5997.948656964904,53.8,65.4,42.2,67273.0,67732.96865012709,21394.913263865146,4596.197582982772
Allegany County,New York,23001.0,3243.231656341772,48.5,58.4,38.4,46651.0,49304.40933742042,20906.304259287044,5144.584253285031
Alleghany County,North Carolina,9738.0,3949.920648915535,53.9,64.6,43.1,11342.0,85857.87339093635,29104.214424263795,4364.309645565156
Alleghany County,Virginia,7191.0,6413.155190133607,54.2,65.0,43.3,14595.0,49270.29804727646,26515.930113052415,3747.8588557725247
Allegheny County,Pennsylvania,1058965.0,5245.728981691262,53.8,64.2,43.5,1224825.0,86458.47365950237,20814.973567652523,4910.823995264629
Allen County,Indiana,231187.0,4662.079103777769,52.5,62.6,42.4,394545.0,58595.85091687893,16032.138285873601,6688.970839828156
Allen County,Kansas,6613.0,3440.2191427650664,58.2,69.7,46.6,12412.0,53279.08475668708,21237.512085078954,5833.064776023203
Allen County,Kentucky,9754.0,2404.9935744446484,59.4,71.1,47.8,21788.0,44767.76207086469,18349.550211125388,5943.638700201946
Allen County,Ohio,49815.0,5907.4951903052415,53.7,63.4,43.9,100838.0,49401.01945695075,19392.490926039787,6053.273567504314
Allen Parish,Louisiana,11010.0,3744.5730824891466,70.1,81.1,59.1,22112.0,49791.96816208394,15055.173661360346,5684.696092619392
Allendale County,South Carolina,6250.0,3555.434930112634,65.0,76.4,53.7,7369.0,84814.7645542136,22771.067987515267,4546.071380105849
Alpena County,Michigan,16303.0,5597.8411292554665,46.8,56.2,37.3,28904.0,56403.95792969832,25612.371990035983,4847.079988928868
Amador County,California,23795.0,3592.356078543924,57.6,69.4,45.9,41811.0,56910.8607782641,28100.260696945777,4142.450551290331
Amelia County,Virginia,5170.0,3783.382789317508,59.6,71.0,48.1,13480.0,38353.115727002965,21513.353115727,5526.706231454006
Amherst County,Virginia,16907.0,2528.9845840234425,56.5,66.9,46.2,31396.0,53850.80902025736,22655.75232513696,5003.822142948146
Amite County,Mississippi,5778.0,3648.931040025719,69.2,80.3,58.1,12442.0,46439.47918341102,27101.752129882654,4790.22665166372
Anderson County,Kansas,3903.0,3278.8976779790764,57.6,68.7,46.5,7838.0,49795.86629242154,21000.255167134474,6494.003572339882
Anderson County,Kentucky,15003.0,1909.5599886238977,58.3,69.9,46.7,24613.0,60955.59257303052,16926.014707674804,5456.466095152969
Anderson County,South Carolina,96154.0,4577.2400458052525,62.4,73.6,51.3,213076.0,45126.6214871689,18633.726933113066,5483.489459160111
Anderson County,Tennessee,49649.0,5566.218809980806,58.6,69.5,47.8,80234.0,61880.2502679662,20147.319091656904,5274.571877259018
Anderson County,Texas,26562.0,3756.754884300956,68.1,79.4,56.7,57736.0,46005.958154357766,15728.488291533879,5211.653041429957
Andrew County,Missouri,8033.0,2476.968058696972,54.8,66.3,43.4,18127.0,44315.11005682132,20891.487835825013,5075.302035637446
Andrews County,Texas,9573.0,2116.373767681097,65.4,79.6,51.1,18664.0,51291.2558936991,10372.910415773682,7892.19888555508
Androscoggin County,Maine,91196.0,5089.438755328968,47.7,56.9,38.5,113765.0,80161.73691381357,19280.973937502746,5138.663033446139
Angelina County,Texas,46693.0,4963.4100253094975,69.6,81.0,58.2,87319.0,53474.04344987918,17157.777803227247,6595.3572532896615
Anne Arundel County,Maryland,528981.0,2865.374330201721,59.1,69.0,49.2,594582.0,88966.87084371879,16463.16235607536,5927.3573703879365
Anoka County,Minnesota,236471.0,2334.0609653609563,47.1,57.0,37.2,372441.0,63492.20413434611,15989.378183390121,5880.125979685373
Anson County,North Carolina,14909.0,3306.38900305978,63.0,74.3,51.6,21897.0,68086.95255057771,20176.279855687993,5735.945563319176
Antrim County,Michigan,14652.0,2753.0828792658444,47.3,56.4,38.3,24409.0,60027.03920684993,29202.343397926994,4186.980212216805
Apache County,Arizona,96506.0,3039.854849621748,50.8,65.5,36.0,65036.0,148388.58478381205,17250.44590688234,5752.198782212929
Appanoose County,Iowa,6553.0,4447.561680006601,52.8,64.4,41.1,12119.0,54072.11816156449,24366.6969221883,4992.161069395164
Appling County,Georgia,7766.0,2784.851275938668,68.1,79.6,56.7,18457.0,42076.17706019397,19168.879016091454,5764.75050116487
Appomattox County,Virginia,5921.0,2437.144212523719,57.9,68.2,47.5,16864.0,35110.294117647056,21424.335863377608,6012.80834914611
Aransas County,Texas,15922.0,3621.8176085757073,73.4,81.4,65.4,25374.0,62749.270907227874,28816.899188145344,4425.790178923307
Arapahoe County,Colorado,516865.0,2669.8736855261936,48.9,63.6,34.2,656061.0,78783.07047667824,14931.84322799252,5669.747172900081
Archer County,Texas,5905.0,1550.5593088935652,66.7,80.0,53.4,9029.0,65400.37656440358,21563.84981725551,5183.298261158489
Archuleta County,Colorado,9381.0,2804.989780816125,43.5,57.8,29.3,14189.0,66114.59581365847,29107.054760730145,3862.1467333850164
Arenac County,Michigan,8044.0,4232.419940574448,48.8,57.4,40.3,15145.0,53113.23869263783,27731.924727632882,4522.944866292506
Arkansas County,Arkansas,11974.0,4862.942294720059,65.1,75.2,55.0,16307.0,73428.58894953087,20494.266266020728,6083.277120255106
Arlington County,Virginia,229528.0,2181.822840597535,58.6,68.7,48.4,234162.0,98021.02817707398,12417.471664915744,4863.299766828093
Armstrong County,Pennsylvania,44176.0,3848.674969566439,51.8,62.6,40.9,64074.0,68945.28201766708,24652.745263289322,4359.022380372694
Armstrong County,Texas,867.0,6004.366812227075,61.5,75.3,47.7,1832.0,47325.32751091703,24508.733624454148,5949.781659388646
Aroostook County,Maine,52768.0,5005.122418375377,42.0,51.6,32.4,67351.0,78347.76024112485,26159.967929206694,4757.167673828154
Ascension Parish,Louisiana,73642.0,1752.6133462987725,71.3,81.5,61.1,131632.0,55945.36282970705,13687.401239820105,6406.496900449739
Ashe County,North Carolina,22704.0,4116.32117651406,52.3,63.2,41.4,27063.0,83893.13823301186,28012.415475002774,3872.445774673909
Ashland County,Ohio,25775.0,3862.808967235104,51.8,61.9,41.7,52190.0,49386.85571948649,20931.21287602989,5533.627131634413
Ashland County,Wisconsin,13154.0,3943.0312830399903,42.5,52.3,32.7,16079.0,81808.57018471298,22538.71509422228,5118.477517258536
Ashley County,Arkansas,11939.0,3975.468185302815,66.4,77.8,55.0,18262.0,65376.19099770015,22095.060781951594,5645.6028912495885
Ashtabula County,Ohio,57526.0,4216.015282151892,51.3,60.7,41.9,96845.0,59400.07228044813,20619.546698332386,5437.554855697248
Asotin County,Washington,11322.0,3796.1772140671424,50.2,61.4,39.0,22549.0,50210.652357089006,26138.631424896892,4940.352122045324
Assumption Parish,Louisiana,11049.0,2852.18253968254,71.6,81.3,61.8,20160.0,54806.54761904762,20828.373015873018,5218.253968253968
Atascosa County,Texas,32239.0,2834.852464081569,72.8,84.4,61.3,51784.0,62256.681600494354,15085.740769349606,6629.460837324271
Atchison County,Kansas,8879.0,3078.171828171828,55.7,67.3,44.0,16016.0,55438.31168831169,18600.14985014985,5407.092907092907
Atchison County,Missouri,3484.0,5600.156647738399,54.0,65.5,42.4,5107.0,68220.09007244957,25690.229097317406,4503.62247895046
Athens County,Ohio,36892.0,2763.690874876407,54.6,65.7,43.5,62706.0,58833.28549102159,15358.976812426243,3739.674034382675
Atkinson County,Georgia,4003.0,2001.6881707464129,68.1,79.7,56.4,8293.0,48269.624984927046,14675.027131315568,7210.900759676836
Atlantic County,New Jersey,222684.0,4130.618829779117,56.9,66.9,46.8,275213.0,80913.32894885053,20555.35167306777,5104.773393698699
Atoka County,Oklahoma,5949.0,3160.0688468158346,64.4,76.3,52.5,14525.0,40956.97074010327,19414.802065404474,4991.394148020654
Attala County,Mississippi,11659.0,4896.595426003802,65.4,77.2,53.5,17359.0,67164.00714326862,20012.6735411026,5858.632409701019
Audrain County,Missouri,11393.0,3648.438140526359,56.3,67.1,45.4,24394.0,46704.10756743461,19652.37353447569,5866.196605722718
Audubon County,Iowa,3408.0,4409.107336465487,50.3,61.8,38.9,5534.0,61582.941814239246,25316.226960607157,5692.085290928803
Auglaize County,Ohio,19162.0,3422.366992399566,53.3,63.4,43.3,46050.0,41611.29207383279,20043.43105320304,5917.480998914223
Augusta County,Virginia,42493.0,4737.56182345649,54.8,65.6,43.9,78247.0,54306.23538282618,23217.503546461845,3854.460873899319
Aurora County,South Dakota,1885.0,3774.263120057512,47.7,60.1,35.4,2782.0,67757.00934579439,21171.81883537024,7045.291157440691
Austin County,Texas,16714.0,2386.589639170376,72.5,82.7,62.4,31677.0,52763.834959118605,21495.09107554377,5767.591627995075
Autauga County,Alabama,32414.0,3001.226343177223,66.4,78.1,54.6,60342.0,53717.14560339399,16782.672102349938,5994.1665838056415
Avery County,North Carolina,13528.0,3376.800865554353,51.4,61.0,41.9,17561.0,77034.3374523091,24189.96640282444,3741.244803826661
Avoyelles Parish,Louisiana,22683.0,4038.221203915851,69.3,80.4,58.2,38408.0,59058.00874817746,18464.903145178087,6105.498854405332
Baca County,Colorado,1521.0,6130.382775119618,54.7,69.8,39.5,3344.0,45484.44976076555,25598.086124401914,5322.966507177033
Bacon County,Georgia,4023.0,4431.859043509529,68.4,79.7,57.2,11124.0,36165.04854368932,17574.613448399858,6346.6379000359575
Bailey County,Texas,3290.0,2203.237410071942,60.1,75.4,44.8,6672.0,49310.551558753,15452.63788968825,8378.297362110312
Baker County,Florida,13306.0,2354.7659334461364,70.0,82.1,58.0,28368.0,46904.963338973495,15186.125211505921,6503.807106598984
Baker County,Georgia,1960.0,2952.971199416697,68.0,78.9,57.1,2743.0,71454.61173897193,27779.803135253373,4739.336492890995
Baker County,Oregon,14531.0,4600.283822138126,45.8,56.8,34.8,16912.0,85921.23935666982,28021.523178807944,4606.196783349102
Baldwin County,Alabama,149596.0,3342.708485367268,69.8,80.2,59.4,253507.0,59010.59931283949,22059.74588472902,5072.838225374448
Baldwin County,Georgia,23132.0,4039.542815005991,65.8,77.8,53.8,43396.0,53304.45202322795,17969.398101207484,4569.54558023781
Ballard County,Kentucky,3468.0,3310.472170931153,60.3,70.8,49.8,7582.0,45739.91031390135,22632.5507781588,4642.574518596676
Baltimore County,Maryland,697468.0,3593.689142811142,57.1,67.7,46.4,844703.0,82569.61322500334,18695.21003240192,5646.008123565324
Bamberg County,South Carolina,8442.0,4401.109912131957,64.5,76.0,53.1,12974.0,65068.5987359334,24371.820564205336,4786.4960690612
Bandera County,Texas,14501.0,2818.3946636038345,69.6,81.8,57.4,22637.0,64058.8417193091,29712.417723196537,3962.53920572514
Banks County,Georgia,6881.0,1955.631916721411,62.7,73.8,51.6,19789.0,34771.84294304917,18404.163929455757,5851.735812825307
Bannock County,Idaho,54533.0,3618.362831858407,44.8,55.9,33.7,90400.0,60324.11504424778,15596.238938053097,6019.911504424779
Baraga County,Michigan,5677.0,3898.916967509025,42.0,51.6,32.4,8310.0,68315.2827918171,23333.333333333332,4705.17448856799
Barber County,Kansas,2418.0,4126.750184229919,58.9,72.1,45.6,4071.0,59395.725865880624,25595.676737902235,5502.3335789732255
Barbour County,Alabama,14256.0,3945.495220663006,66.7,77.8,55.6,24585.0,57986.57718120806,20581.65548098434,5316.249745779946
Barbour County,West Virginia,9292.0,3667.577058134998,53.5,65.0,42.1,15378.0,60423.98231239433,21192.61282351411,4818.57198595396
Barnes County,North Dakota,7114.0,4130.151034868543,41.9,52.4,31.3,10726.0,66324.81819876934,23727.39138541861,4531.046056311766
Barnwell County,South Carolina,13944.0,2953.978578764611,64.7,76.2,53.2,20447.0,68195.82334816844,20076.294810974716,6543.747248985181
Barren County,Kentucky,23626.0,5163.52648418059,59.1,71.0,47.2,45008.0,52492.89015286171,18545.591894774265,5867.8457163171
Barron County,Wisconsin,26839.0,3945.935558260201,44.8,55.1,34.6,46833.0,57307.88119488395,24113.33888497427,5126.726880618367
Barrow County,Georgia,39063.0,1806.19018880938,63.1,74.3,52.0,92792.0,42097.37908440383,13059.315458229157,6369.0835416846285
Barry County,Michigan,31553.0,2554.5386158475426,50.4,59.7,41.0,63808.0,49449.91223671013,20104.06218655968,5105.942828485456
Barry County,Missouri,19641.0,3473.699135119807,58.9,70.5,47.2,35265.0,55695.4487452148,22214.660428186588,5903.870693321991
Bartholomew County,Indiana,59286.0,4053.426663333452,56.1,67.0,45.2,84003.0,70576.0508553266,17243.431782198255,6290.251538635524
Barton County,Kansas,12725.0,3486.0837784649984,56.0,69.3,42.8,24899.0,51106.470139363024,21277.96297040042,6184.987348889514
Barton County,Missouri,4657.0,3307.475918506521,58.9,70.7,47.2,11731.0,39698.23544454863,21311.05617594408,5822.1805472679225
Bartow County,Georgia,47055.0,3397.9190027903096,62.0,73.6,50.3,115041.0,40902.8085639033,15233.69928981841,5941.360036856425
Bastrop County,Texas,63833.0,1839.715466969976,71.5,82.8,60.1,110778.0,57622.45211143007,15644.80311975302,6475.112386936034
Bates County,Missouri,7421.0,3878.8326560768382,58.0,69.9,46.2,16242.0,45690.1859376924,20108.361039280877,5750.523334564709
Bath County,Kentucky,7705.0,2928.7090558766863,56.7,68.2,45.1,12975.0,59383.42967244702,17541.425818882468,6782.273603082852
Bath County,Virginia,2089.0,5776.351518143668,53.3,64.5,42.1,4051.0,51567.51419402617,30017.279684028636,5332.016785978771
Baxter County,Arkansas,23874.0,8032.65306122449,59.8,71.5,48.1,42875.0,55682.798833819244,30843.148688046644,4226.239067055393
Bay County,Florida,114373.0,4373.8762587212805,70.2,80.2,60.1,190769.0,59953.661234267616,18505.62722454906,5589.4825679224605
Bay County,Michigan,61688.0,5477.073170731707,49.8,58.2,41.5,102500.0,60183.414634146335,22422.439024390245,4639.024390243902
Bayfield County,Wisconsin,14393.0,2450.951159878347,42.9,52.7,33.1,16769.0,85830.99767427992,32202.27801300018,3768.8592044844654
Baylor County,Texas,1602.0,5659.832515160266,66.7,80.0,53.5,3463.0,46260.4678024834,23678.89113485417,5717.585908172105
Beadle County,South Dakota,12566.0,2853.3510285335105,46.7,58.5,34.9,19591.0,64141.69771834005,17987.8515644939,7901.587463631258
Bear Lake County,Idaho,3294.0,2926.396689328998,39.9,52.1,27.7,6766.0,48684.599467927874,21622.819982264264,6059.710316287319
Beaufort County,North Carolina,35646.0,4260.24594770801,62.6,72.7,52.6,44481.0,80137.58683482835,26244.913558598055,4788.561408241721
Beaufort County,South Carolina,162920.0,3198.327461691937,67.4,75.9,58.9,198979.0,81877.98712426939,29169.409837219002,4561.78792736922
Beauregard Parish,Louisiana,16336.0,2845.738181225731,70.2,81.5,59.0,36827.0,44358.75851956445,16547.64167594428,7003.014092920955
Beaver County,Oklahoma,2146.0,2650.458349940215,58.5,72.6,44.2,5018.0,42766.042247907535,20426.464726982864,5520.127540852929
Beaver County,Pennsylvania,99878.0,4333.729796958299,52.3,62.6,42.0,165631.0,60301.51360554485,23277.647300324214,4683.90579058268
Beaver County,Utah,3890.0,3013.963777132587,48.5,62.3,34.7,7233.0,53781.28024332919,15885.524678556614,7147.794829254804
Beaverhead County,Montana,5734.0,4046.535154274153,38.1,48.9,27.3,9885.0,58007.081436519984,24208.39656044512,4137.582195245322
Becker County,Minnesota,21691.0,3367.0606240965903,42.2,52.7,31.6,35283.0,61477.19865090837,23419.210384604485,5280.163251424198
Beckham County,Oklahoma,10748.0,4087.650848380365,62.3,75.9,48.8,22042.0,48761.45540332093,16028.491062517014,5625.623809091734
Bedford County,Pennsylvania,21706.0,3246.040126715945,52.7,63.9,41.4,47350.0,45841.6050686378,24597.67687434002,5049.630411826822
Bedford County,Tennessee,25818.0,2706.625200263877,60.8,72.5,49.1,53055.0,48662.70851003676,15076.807086985204,6711.902742437094
Bedford County,Virginia,41482.0,2832.260042931616,57.3,68.3,46.3,81525.0,50882.55136461208,23882.24471021159,4392.517632628028
Bee County,Texas,20201.0,2852.512155591572,73.4,84.4,62.3,30850.0,65481.36142625608,12884.927066450566,5092.382495948136
Belknap County,New Hampshire,46650.0,3692.3124240700017,47.8,57.5,38.1,65027.0,71739.43131314685,24961.938886923894,3770.74138434804
Bell County,Kentucky,14230.0,5515.289273920316,56.6,68.0,45.3,23317.0,61028.43418964704,20152.678303383796,6278.680790839301
Bell County,Texas,275349.0,3170.9618431660783,69.7,80.9,58.5,393193.0,70028.96796229841,12161.457604789504,7725.97681037048
Belmont County,Ohio,38083.0,3516.7442003758592,52.9,63.4,42.3,64918.0,58663.23669860439,22574.632613450816,4445.60830586278
Beltrami County,Minnesota,37729.0,3435.506656963055,41.5,51.8,31.3,46718.0,80759.02221841688,17890.320647287983,6183.911982533498
Ben Hill County,Georgia,7651.0,4448.855674918263,67.3,78.7,55.8,17128.0,44669.546940681925,18811.303129378794,6165.343297524521
Benewah County,Idaho,6135.0,3221.139936348732,47.6,58.0,37.2,10369.0,59166.74703442954,23975.311023242357,5101.745587809818
Bennett County,South Dakota,2813.0,3570.3479576399395,48.5,60.8,36.3,3305.0,85113.46444780636,14311.649016641453,7049.924357034795
Bennington County,Vermont,18945.0,4921.603958798375,46.3,56.1,36.5,37183.0,50950.70327837991,25285.748863728048,4144.367049458086
Benson County,North Dakota,4396.0,2489.1209747606613,40.7,51.5,30.0,5745.0,76518.71192341167,16588.33768494343,9625.761531766753
Bent County,Colorado,1607.0,3502.904418236226,53.8,69.4,38.1,5681.0,28287.2733673649,20137.299771167047,3872.5576483013556
Benton County,Arkansas,198001.0,2508.898341869954,59.9,71.7,48.2,311013.0,63663.25523370405,14008.739184535696,6524.807644696524
Benton County,Indiana,4116.0,2256.844999427197,52.6,63.5,41.7,8729.0,47153.16760224539,18398.441975025777,5705.120861496162
Benton County,Iowa,16504.0,2449.9922468599784,50.2,61.6,38.8,25796.0,63978.91145914095,20390.758257094123,5446.5808652504265
Benton County,Minnesota,20268.0,2675.480769230769,45.1,55.0,35.1,41600.0,48721.15384615384,14588.942307692307,6009.615384615385
Benton County,Mississippi,5149.0,2917.450927668728,62.7,74.2,51.2,7438.0,69225.59827910729,20543.156762570583,5122.3447163215915
Benton County,Missouri,11163.0,4189.373297002725,57.7,69.5,45.9,20552.0,54315.88166601791,31875.24328532503,4014.207862981705
Benton County,Oregon,79442.0,2744.772957538915,53.1,63.2,42.9,97713.0,81301.36215242598,18636.21012557183,3364.956556445918
Benton County,Tennessee,8159.0,4024.09488915109,60.9,71.9,49.9,16103.0,50667.57747003664,24281.18984040241,5104.638887163882
Benton County,Washington,133436.0,3470.883146934053,53.6,64.5,42.7,215219.0,62000.10222145814,16231.8382670675,6214.13536908916
Benzie County,Michigan,12005.0,2960.793883195054,47.8,56.5,39.2,18441.0,65099.5065343528,29239.195271406104,4191.7466514831085
Bergen County,New Jersey,917607.0,3167.261124151123,55.3,64.9,45.7,957736.0,95810.01445074634,18692.207455916872,5051.600858691748
Berkeley County,South Carolina,150658.0,2314.8928167010818,66.0,76.6,55.5,255217.0,59031.33411959235,15224.691145182334,5990.980224671554
Berkeley County,West Virginia,83188.0,3076.109936575053,55.3,67.4,43.2,132440.0,62811.83932346723,15548.172757475084,6049.531863485352
Berks County,Pennsylvania,322233.0,3450.156069137126,54.1,64.7,43.5,432821.0,74449.48373577067,18454.0491334755,5407.547230841387
Berkshire County,Massachusetts,102020.0,4564.809411913135,48.5,58.0,38.8,126818.0,80445.99347095838,26172.15221813938,3799.933763345897
Bernalillo County,New Mexico,625314.0,4502.0295241413605,54.6,69.4,39.8,671586.0,93110.04100740635,18856.70636374195,4759.479798566379
Berrien County,Georgia,7995.0,3166.397415185784,67.4,79.2,55.6,18570.0,43053.31179321486,18039.849219170705,5907.377490576198
Berrien County,Michigan,97332.0,4267.671958019453,51.7,60.8,42.7,152261.0,63924.44552446128,22007.605361845777,5259.39012616494
Bertie County,North Carolina,13530.0,4177.993145018319,62.1,73.0,51.3,16922.0,79955.0880510578,26190.757593665054,4112.989008391443
Bexar County,Texas,1765180.0,3284.9877782935023,72.0,83.8,60.3,2087679.0,84552.27072744421,13089.320724115152,6359.406786196537
Bibb County,Alabama,9825.0,3091.2749222608377,64.7,76.6,52.8,21868.0,44928.662886409365,18286.9946954454,5336.564843607097
Bibb County,Georgia,84571.0,7147.694745450828,65.8,78.1,53.6,156512.0,54034.83438969537,16930.97014925373,6425.066448579023
Bienville Parish,Louisiana,7807.0,4318.292091217855,67.5,78.8,56.1,12366.0,63132.78343846029,21437.81335921074,6259.097525473072
Big Horn County,Montana,14707.0,2556.662222570779,46.2,58.5,33.8,12751.0,115339.97333542469,14500.823464826288,6721.0414869422
Big Horn County,Wyoming,5368.0,3752.7042769179566,43.8,55.8,31.8,12018.0,44666.33383258445,22108.503910800468,5100.68230986853
Big Stone County,Minnesota,3485.0,5132.223310479922,45.3,56.5,34.2,5105.0,68266.40548481881,27482.859941234085,5994.123408423115
Bingham County,Idaho,26360.0,2405.0004960809606,44.1,55.9,32.2,50395.0,52306.77646591923,15688.06429209247,6558.190296656415
Black Hawk County,Iowa,89391.0,4279.87828712894,50.4,61.6,39.0,130471.0,68514.07592491819,18049.221666117373,6068.015114469882
Blackford County,Indiana,6314.0,3590.3472630959386,53.5,64.0,43.0,11893.0,53090.05297233666,22181.114941562264,5297.23366686286
Bladen County,North Carolina,27847.0,3578.2119115452447,63.7,74.8,52.6,29484.0,94447.8361145028,24128.34079500746,5708.180708180708
Blaine County,Idaho,22821.0,1605.3671977956153,41.9,53.4,30.5,25041.0,91134.53935545706,23505.45106026117,3769.8174993011457
Blaine County,Montana,6896.0,2362.6612552543847,44.2,56.3,32.1,6899.0,99956.51543701986,17451.804609363673,6667.632990288448
Blaine County,Oklahoma,5291.0,3981.73088183628,61.0,74.2,47.8,8539.0,61962.75910528165,20505.914041456846,6968.029043213492
Blair County,Pennsylvania,79159.0,6275.722730787458,51.6,62.0,41.1,120273.0,65816.10170196136,22141.295220041073,4844.8113874269375
Blanco County,Texas,8205.0,2406.499080318823,69.7,81.7,57.6,13048.0,62883.20049049662,27199.570815450643,3793.684855916615
Bland County,Virginia,2945.0,3641.365916815019,52.8,64.0,41.5,6179.0,47661.4338889788,25505.745266224305,3155.8504612396828
Bleckley County,Georgia,5633.0,3337.3445647813883,66.4,78.4,54.3,12465.0,45190.53349378259,18467.70958684316,5254.713196951464
Bledsoe County,Tennessee,6578.0,2762.284196547145,58.4,68.7,48.1,15060.0,43678.618857901725,21792.828685258963,4176.626826029216
Blount County,Alabama,22914.0,3059.382105122375,63.3,73.8,52.7,59816.0,38307.4762605323,19193.861174267753,5839.574695733582
Blount County,Tennessee,80076.0,4135.56158805565,59.4,70.3,48.5,141456.0,56608.41533763149,21491.48851939826,4805.027711797308
Blue Earth County,Minnesota,45340.0,3284.0042282090108,47.5,57.3,37.6,70006.0,64765.87721052481,15351.541296460302,5106.705139559466
